"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","00:78:9e:ff:a4:dc","sáb","HomeWirelessLan","1","15-07-2017 at 23:49:50","37.1433","-8.5452"
"2","00:8c:54:c0:70:c2","sáb","ADSLPT-AB20645","0","15-07-2017 at 21:18:32","37.1433","-8.5452"
"3","84:94:8c:7a:9d:a8","sáb","ZON-9DA0","0","15-07-2017 at 23:47:57","37.1433","-8.5452"
"4","84:94:8c:07:ab:68","sáb","ZON-AB60","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"5","84:94:8c:07:ab:69","sáb","NOS_WIFI_Fon","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"6","84:94:8c:7a:9d:a9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"7","00:05:ca:8c:1e:08","sáb","ZON-1E00","0","15-07-2017 at 22:12:19","37.1433","-8.5452"
"8","00:05:ca:8c:1e:09","sáb","NOS_WIFI_Fon","0","15-07-2017 at 22:11:54","37.1433","-8.5452"
"9","0c:47:3d:15:20:c9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 21:26:09","37.1433","-8.5452"
"10","0c:47:3d:15:20:c8","sáb","ZON-20C0","0","15-07-2017 at 21:22:58","37.1433","-8.5452"
"11","48:7b:6b:b5:9d:a4","sáb","Vodafone-B59D9B","0","15-07-2017 at 22:06:27","37.1433","-8.5452"
"12","14:8f:21:b2:3a:60","sáb","ConnectedCAM3070","0","15-07-2017 at 12:50:24","37.1435","-8.54577"
"13","28:9a:fa:20:0f:91","sáb","Ccello2","0","15-07-2017 at 13:48:45","37.1433","-8.5452"
"14","9c:97:26:e9:b2:cf","sáb","MEO-E9B2CF","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"15","f0:f2:49:94:03:b8","sáb","alfredo","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"16","f0:f2:49:94:03:b9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 23:49:50","37.1433","-8.5452"
"17","00:26:44:73:34:34","sáb","MEO-GMCC","0","15-07-2017 at 15:27:26","37.1433","-8.54519"
"18","c4:ea:1d:1e:89:17","sáb","MEO-1E8917","0","15-07-2017 at 15:27:47","37.1433","-8.54496"
"19","08:76:ff:04:b3:70","sáb","Paulo","0","15-07-2017 at 15:28:47","37.1438","-8.54464"
"20","48:7b:6b:b5:91:48","sáb","Vodafone-B59141","0","15-07-2017 at 16:36:42","37.1433","-8.54508"
"21","a4:2b:b0:b1:1a:47","sáb","melissa","0","15-07-2017 at 16:36:13","37.1433","-8.54506"
"22","0a:76:ff:04:b3:71","sáb","MEO-WiFi","0","15-07-2017 at 15:28:47","37.1438","-8.54464"
"23","c6:ea:1d:1e:89:18","sáb","MEO-WiFi","0","15-07-2017 at 15:27:48","37.1433","-8.54496"
"24","9c:97:26:8e:84:1d","sáb","EmaBeatriz","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"25","e0:b9:e5:b5:af:2b","sáb","Bastos","0","15-07-2017 at 16:35:43","37.1433","-8.54511"
"26","a8:4e:3f:2c:ed:f8","sáb","NOS-EDF0","0","15-07-2017 at 16:36:42","37.1433","-8.54508"
"27","9c:97:26:7d:39:17","sáb","MEO-7D3917","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"28","00:26:5b:10:07:48","sáb","ZON-0740","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"29","e2:b9:e5:b5:af:2c","sáb","MEO-WiFi","0","15-07-2017 at 16:35:43","37.1433","-8.54511"
"30","a8:4e:3f:2c:ed:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:36:42","37.1433","-8.54508"
"31","1c:ab:c0:1f:d6:b9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:28:48","37.1438","-8.54464"
"32","9e:97:26:7d:39:18","sáb","MEO-WiFi","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"33","00:26:5b:10:07:49","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"34","00:26:5b:2e:45:c9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"35","9e:97:26:11:f9:37","sáb","MEO-WiFi","0","15-07-2017 at 15:28:18","37.1432","-8.54491"
"36","68:b6:fc:b1:66:f8","sáb","FIGUEIRAS","0","15-07-2017 at 16:31:58","37.1432","-8.5449"
"37","24:ec:99:40:90:51","sáb","MEO-409051","0","15-07-2017 at 15:28:47","37.1438","-8.54464"
"38","26:ec:99:40:90:52","sáb","MEO-WiFi","0","15-07-2017 at 15:28:47","37.1438","-8.54464"
"39","84:26:15:c3:ae:b4","sáb","ADSLPT-AB10327","0","15-07-2017 at 15:28:48","37.1438","-8.54464"
"40","9c:97:26:c4:b2:75","sáb","MEO-C4B275","0","15-07-2017 at 15:28:48","37.1438","-8.54464"
"41","1c:ab:c0:1f:d6:b8","sáb","NOS-D6B0","0","15-07-2017 at 15:28:48","37.1438","-8.54464"
"42","9e:97:26:c4:b2:76","sáb","MEO-WiFi","0","15-07-2017 at 15:28:48","37.1438","-8.54464"
"43","30:91:8f:02:f9:2f","sáb","Patresi","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"44","1c:ab:c0:f2:af:38","sáb","NOS-AF30","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"45","0c:47:3d:15:5a:f8","sáb","ZON-5AF0","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"46","1c:8e:5c:f1:df:17","sáb","Quinta","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"47","00:26:5b:25:45:a9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"48","1c:ab:c0:f2:af:39","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"49","0c:47:3d:15:5a:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"50","00:05:ca:a2:0a:88","sáb","ZON-0A80","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"51","00:05:ca:9d:6b:08","sáb","ZON-6B00","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"52","00:05:ca:6f:4d:c8","sáb","ZON-4DC0","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"53","9c:97:26:e3:c4:3d","sáb","MEO-E3C43D","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"54","c4:ea:1d:19:0d:c1","sáb","MEO-190DC1","0","15-07-2017 at 15:29:16","37.143","-8.54576"
"55","00:05:ca:9d:6b:09","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"56","00:05:ca:a2:0a:89","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"57","f0:f2:49:c9:13:29","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"58","00:05:ca:6f:4d:c9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"59","9e:97:26:e3:c4:3e","sáb","MEO-WiFi","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"60","9e:97:26:7c:ce:8e","sáb","MEO-WiFi","0","15-07-2017 at 15:29:17","37.143","-8.54576"
"61","00:05:ca:9d:53:28","sáb","Boss Sofia Mar","0","15-07-2017 at 15:30:09","37.1437","-8.54406"
"62","00:05:ca:af:6b:a8","sáb","ZON-6BA0","0","15-07-2017 at 15:30:09","37.1437","-8.54406"
"63","18:d6:c7:f7:b1:b0","sáb","INTERNET","0","15-07-2017 at 15:36:02","37.144","-8.50262"
"64","58:98:35:80:0b:b5","sáb","Casa","0","15-07-2017 at 15:37:29","37.1397","-8.51074"
"65","9e:97:26:d6:b5:c6","sáb","MEO-WiFi","0","15-07-2017 at 15:37:29","37.1397","-8.51074"
"66","5a:98:35:80:0b:b6","sáb","MEO-WiFi","0","15-07-2017 at 15:37:29","37.1397","-8.51074"
"67","9c:97:26:f1:8a:19","sáb","MEO-F18A19","0","15-07-2017 at 15:37:29","37.1397","-8.51074"
"68","9e:97:26:f1:8a:1a","sáb","MEO-WiFi","0","15-07-2017 at 15:37:29","37.1397","-8.51074"
"69","f0:f2:49:c8:91:f8","sáb","NOS-91F0","0","15-07-2017 at 16:22:48","37.1393","-8.5117"
"70","a4:b1:e9:f2:ba:0a","sáb","MEO-F2BA0A","0","15-07-2017 at 16:22:17","37.1392","-8.51163"
"71","a6:b1:e9:f2:ba:0b","sáb","MEO-WiFi","0","15-07-2017 at 16:22:17","37.1392","-8.51163"
"72","f0:f2:49:c8:91:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:22:48","37.1393","-8.5117"
"73","0c:47:3d:0f:05:d9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:14:54","37.1393","-8.51167"
"74","0c:47:3d:0f:05:d8","sáb","ZON-05D0","0","15-07-2017 at 16:20:19","37.1393","-8.51168"
"75","a8:4e:3f:2c:4e:b9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:20:48","37.1393","-8.5117"
"76","a8:4e:3f:2c:4e:b8","sáb","NOS-4EB0","0","15-07-2017 at 16:18:50","37.1394","-8.51167"
"77","9c:97:26:f1:67:d7","sáb","W'S","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"78","5c:96:9d:69:e0:53","sáb","W's Time Capsule Network","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"79","9c:97:26:f1:08:b5","sáb","MEO-F108B5","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"80","f0:f2:49:ca:9a:58","sáb","Rei das Bifanas","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"81","9e:97:26:f1:67:d8","sáb","MEO-WiFi","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"82","f0:f2:49:ca:9a:59","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:23:17","37.1396","-8.51194"
"83","5c:f9:6a:9f:40:e2","sáb","4G-WiFi-movel_9F40E2","0","15-07-2017 at 16:28:04","37.1546","-8.5304"
"84","bc:14:01:07:f2:f8","sáb","ZON-F2F0","0","15-07-2017 at 16:30:02","37.1493","-8.54022"
"85","bc:14:01:07:f2:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:30:02","37.1493","-8.54022"
"86","00:05:ca:af:1d:98","sáb","ZON-1D90","0","15-07-2017 at 16:30:59","37.1433","-8.54457"
"87","00:05:ca:af:1d:99","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:30:59","37.1433","-8.54457"
"88","c4:ea:1d:0f:9f:ef","sáb","MEO-0F9FEF","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"89","c6:ea:1d:0f:9f:f0","sáb","MEO-WiFi","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"90","bc:14:01:73:b8:e8","sáb","ZON-B8E0","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"91","e0:b9:e5:ad:b6:81","sáb","VAI CORINTHIANS","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"92","00:05:ca:63:ec:19","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"93","e2:b9:e5:ad:b6:82","sáb","MEO-WiFi","0","15-07-2017 at 16:31:29","37.1439","-8.54583"
"94","00:05:ca:98:be:59","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:31:58","37.1432","-8.5449"
"95","20:3d:b2:1d:33:b8","sáb","Henrique-Kamila","0","15-07-2017 at 16:34:18","37.1432","-8.54495"
"96","00:26:5b:06:b8:d8","sáb","Pirilampo","0","15-07-2017 at 16:35:42","37.1433","-8.54511"
"97","00:26:5b:06:b8:d9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 16:35:43","37.1433","-8.54511"
"98","1c:ab:c0:da:3c:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 19:05:52","37.1433","-8.54521"
"99","1c:ab:c0:da:3c:f8","sáb","NOS-3CF0","0","15-07-2017 at 19:05:52","37.1433","-8.54521"
"100","4e:5e:0c:30:ef:e9","sáb","Unknown","0","15-07-2017 at 19:58:26","37.1433","-8.5452"
"101","d4:ca:6d:f5:96:a5","sáb","WiFi FROTA AZUL 898","0","15-07-2017 at 19:58:26","37.1433","-8.5452"
"102","f0:f2:49:11:4d:f8","sáb","NOS-4DF0","0","15-07-2017 at 21:31:57","37.1433","-8.54518"
"103","f0:f2:49:11:4d:f9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 21:31:57","37.1433","-8.54518"
"104","30:91:8f:53:bd:96","sáb","MEO-53BD96","0","15-07-2017 at 21:33:00","37.1433","-8.5452"
"105","32:91:8f:53:bd:97","sáb","MEO-WiFi","0","15-07-2017 at 21:33:00","37.1433","-8.5452"
"106","bc:14:01:a0:2f:28","sáb","freitas","0","15-07-2017 at 21:32:18","37.1433","-8.54523"
"107","00:05:ca:8c:a6:b8","sáb","ZON-A6B0","0","15-07-2017 at 23:49:22","37.1433","-8.5452"
"108","00:05:ca:8c:a6:b9","sáb","NOS_WIFI_Fon","0","15-07-2017 at 23:49:22","37.1433","-8.5452"
